ID,text_original,target_original,text_clean,target_clean,stance,stance_id,sentiment,sentiment_id,sarcasm,sarcasm_id,favor_reason,against_reason,none_reason,model_input,target_id,text,target,stance:confidence,sarcasm:confidence,sentiment:confidence,datetime,Date,true_label,pred_label,p_against,p_none,p_favor,fold,true_name,pred_name
370, سألني دكتور عن علاقة التكنولوجيا بعلم الإجتماع فتغير الجواب إلى وجهة نظر للمستقبل  وكنت أتكلم عن التحول الإلكتروني بإستثناء التعليم أن يستمر على الأقل بتقديم الدورات عن بعد  الدكتور ما رد على كلامي وقال لي قفل المايك 😅 ما ادري بس يمكن سؤاله كان ,Digital Transformation,سالني دكتور عن علاقة التكنولوجيا بعلم الاجتماع فتغير الجواب الي وجهة نظر للمستقبل وكنت اتكلم عن التحول الالكتروني باستثناء التعليم ان يستمر علي الاقل بتقديم الدورات عن بعد الدكتور ما رد علي كلامي وقال لي قفل المايك 😅 ما ادري بس يمكن سؤاله كان,Digital Transformation,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Digital Transformation Text: سالني دكتور عن علاقة التكنولوجيا بعلم الاجتماع فتغير الجواب الي وجهة نظر للمستقبل وكنت اتكلم عن التحول الالكتروني باستثناء التعليم ان يستمر علي الاقل بتقديم الدورات عن بعد الدكتور ما رد علي كلامي وقال لي قفل المايك 😅 ما ادري بس يمكن سؤاله كان,,,,,,,,,2,1,0.028915405,0.83691406,0.13439941,1,Favor,None
371, مع ولكن افضل ان اكون ضد في الوقت الحالي السبب عدم توفر البنية الاساسية القادرة على التحول للتعلم الالكتروني,Digital Transformation,مع ولكن افضل ان اكون ضد في الوقت الحالي السبب عدم توفر البنية الاساسية القادرة علي التحول للتعلم الالكتروني,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: مع ولكن افضل ان اكون ضد في الوقت الحالي السبب عدم توفر البنية الاساسية القادرة علي التحول للتعلم الالكتروني,,,,,,,,,0,2,0.2849121,0.022827148,0.6923828,1,Against,Favor
372,التعليم عن بُعد جميل و ممتع بكل تفاصيله و آثاره . للطالب  للأسرة للمجمتع  المأمول هو التحول الالكتروني بالكامل   المسابقات   النشاطات   تحدي الابداع  الارشاد والتوجيه و الدعم النفسي ( مهمة جدا جدا) و لدينا في كل منطقة خبراء و خبيرات في هذا الشأن,Digital Transformation,التعليم عن بُعد جميل و ممتع بكل تفاصيله و اثاره . للطالب للاسرة للمجمتع المامول هو التحول الالكتروني بالكامل المسابقات النشاطات تحدي الابداع الارشاد والتوجيه و الدعم النفسي ( مهمة جدا جدا) و لدينا في كل منطقة خبراء و خبيرات في هذا الشان,Digital Transformation,,1,Negative,0,No,0,,,Not clear,Target: Digital Transformation Text: التعليم عن بُعد جميل و ممتع بكل تفاصيله و اثاره . للطالب للاسرة للمجمتع المامول هو التحول الالكتروني بالكامل المسابقات النشاطات تحدي الابداع الارشاد والتوجيه و الدعم النفسي ( مهمة جدا جدا) و لدينا في كل منطقة خبراء و خبيرات في هذا الشان,,,,,,,,,1,2,0.0019721985,0.0020980835,0.99609375,1,None,Favor
399,  قالوا اما تطعيم واما فحص كورونا فأنت مطلوب منك كورونا... والله اعلم,Covid Vaccine,قالوا اما تطعيم واما فحص كورونا فانت مطلوب منك كورونا.. والله اعلم,Covid Vaccine,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Covid Vaccine Text: قالوا اما تطعيم واما فحص كورونا فانت مطلوب منك كورونا.. والله اعلم,,,,,,,,,2,0,0.9658203,0.03173828,0.0024356842,1,Favor,Against
453,مبادرة تحفيزية في العاصمة الأمريكية واشنطن للمترددين من أخذ لقاح فيروس #كورونا: جرعة تطعيم مقابل جرعة ماريجوانا. على ما يبدو الإقبال كبير لأخذ التطعيم. ما هو الحافز المناسب في الإمارات خلال شهر رمضان الكريم ومن بعده عيدية العيد بدلًا من خطاب التهديد الذي سمعناه هذا الأسبوع؟ ,Covid Vaccine,مبادرة تحفيزية في العاصمة الامريكية واشنطن للمترددين من اخذ لقاح فيروس #كورونا: جرعة تطعيم مقابل جرعة ماريجوانا. علي ما يبدو الاقبال كبير لاخذ التطعيم. ما هو الحافز المناسب في الامارات خلال شهر رمضان الكريم ومن بعده عيدية العيد بدلًا من خطاب التهديد الذي سمعناه هذا الاسبوع؟,Covid Vaccine,,1,Negative,0,No,0,,,Not clear,Target: Covid Vaccine Text: مبادرة تحفيزية في العاصمة الامريكية واشنطن للمترددين من اخذ لقاح فيروس #كورونا: جرعة تطعيم مقابل جرعة ماريجوانا. علي ما يبدو الاقبال كبير لاخذ التطعيم. ما هو الحافز المناسب في الامارات خلال شهر رمضان الكريم ومن بعده عيدية العيد بدلًا من خطاب التهديد الذي سمعناه هذا الاسبوع؟,,,,,,,,,1,2,0.0132751465,0.30126953,0.6855469,1,None,Favor
482,التحول الرقمي اللي صار في السعودية في خمس سنوات شي مش طبيعي  مدري اصلا وش اللي باقي عندنا ماصار رقمي URL,Digital Transformation,التحول الرقمي اللي صار في السعودية في خمس سنوات شي مش طبيعي مدري اصلا وش اللي باقي عندنا ماصار رقمي,Digital Transformation,,1,Neutral,1,No,0,,,Not Related,Target: Digital Transformation Text: التحول الرقمي اللي صار في السعودية في خمس سنوات شي مش طبيعي مدري اصلا وش اللي باقي عندنا ماصار رقمي,,,,,,,,,1,0,0.6401367,0.039916992,0.31982422,1,None,Against
501,الخدمات الإلكترونية في الوزارة مريضه ولانجد حلول من قبلكم توثيق عقد زواج  سابقا قبل أن تكون إلكترونية تنتهي في ايام قليله بعد التحول الإلكتروني أصبحت بالاسابيع اي تطور ياوزارة العدل مايحدث شي مخجل جدا ..      ,Digital Transformation,الخدمات الالكترونية في الوزارة مريضه ولانجد حلول من قبلكم توثيق عقد زواج سابقا قبل ان تكون الكترونية تنتهي في ايام قليله بعد التحول الالكتروني اصبحت بالاسابيع اي تطور ياوزارة العدل مايحدث شي مخجل جدا ..,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: الخدمات الالكترونية في الوزارة مريضه ولانجد حلول من قبلكم توثيق عقد زواج سابقا قبل ان تكون الكترونية تنتهي في ايام قليله بعد التحول الالكتروني اصبحت بالاسابيع اي تطور ياوزارة العدل مايحدث شي مخجل جدا ..,,,,,,,,,0,2,0.48632812,0.025375366,0.48828125,1,Against,Favor
506,  البلديات المكان الوحيد لي اتشائم لما اروح اخلص فيه معاملة موظفين قدامى جداً معاملات ورقية اجراءات معقدة  حقيقة هذه الجهة جداً بطيئة في التحول الالكتروني,Digital Transformation,البلديات المكان الوحيد لي اتشائم لما اروح اخلص فيه معاملة موظفين قدامي جداً معاملات ورقية اجراءات معقدة حقيقة هذه الجهة جداً بطيئة في التحول الالكتروني,Digital Transformation,Favor,2,Positive,2,No,0,F_Explicit,,,Target: Digital Transformation Text: البلديات المكان الوحيد لي اتشائم لما اروح اخلص فيه معاملة موظفين قدامي جداً معاملات ورقية اجراءات معقدة حقيقة هذه الجهة جداً بطيئة في التحول الالكتروني,,,,,,,,,2,0,0.78808594,0.012519836,0.19934082,1,Favor,Against
521, خلينا نستقر بالاول وبعدها تشوف التحول الالكتروني 😌😎,Digital Transformation,خلينا نستقر بالاول وبعدها تشوف التحول الالكتروني 😌😎,Digital Transformation,,1,Neutral,1,No,0,,,Not clear,Target: Digital Transformation Text: خلينا نستقر بالاول وبعدها تشوف التحول الالكتروني 😌😎,,,,,,,,,1,2,0.012504578,0.07965088,0.90771484,1,None,Favor
555,إنهـا عبارة عن أساليب لتعزيز دوافع فكرك  في الأوقات التي تواجه فيهـا أسـوا أعدائك  كما أن سلوكك  هو الذي يجبرك على التحول إلى التشتت الإلكتروني. هناك الكثير من النصائح التي تفيد الإنتاجية بشكل عام  وكذلك لمجابهة التشتت الرقمي. سنطالع في الفصليـن القادمين ما تفعله عندما يكون,Digital Transformation,انها عبارة عن اساليب لتعزيز دوافع فكرك في الاوقات التي تواجه فيها اسوا اعدائك كما ان سلوكك هو الذي يجبرك علي التحول الي التشتت الالكتروني. هناك الكثير من النصائح التي تفيد الانتاجية بشكل عام وكذلك لمجابهة التشتت الرقمي. سنطالع في الفصلين القادمين ما تفعله عندما يكون,Digital Transformation,Favor,2,Positive,2,No,0,F_Explicit,,,Target: Digital Transformation Text: انها عبارة عن اساليب لتعزيز دوافع فكرك في الاوقات التي تواجه فيها اسوا اعدائك كما ان سلوكك هو الذي يجبرك علي التحول الي التشتت الالكتروني. هناك الكثير من النصائح التي تفيد الانتاجية بشكل عام وكذلك لمجابهة التشتت الرقمي. سنطالع في الفصلين القادمين ما تفعله عندما يكون,,,,,,,,,2,1,0.032562256,0.79541016,0.17211914,1,Favor,None
563,#نبغى_صيفي_يا_الكليه_التقنيه       نعلم أنكم تشوفون  كلامنا !  لكن مصيبة إذًا حتى الطالب الي تم تعيينكم علشانه ما تعطونه اي اهتمام  كل الجامعات اعلنت ! وأنت اصل التقنية  خايفين من الدراسة عن بعد  مو كل يومين منزلين تغريدة أنكم نجحتم في التحول الإلكتروني !,Digital Transformation,#نبغي صيفي يا الكليه التقنيه نعلم انكم تشوفون كلامنا ! لكن مصيبة اذًا حتي الطالب الي تم تعيينكم علشانه ما تعطونه اي اهتمام كل الجامعات اعلنت ! وانت اصل التقنية خايفين من الدراسة عن بعد مو كل يومين منزلين تغريدة انكم نجحتم في التحول الالكتروني !,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: #نبغي صيفي يا الكليه التقنيه نعلم انكم تشوفون كلامنا ! لكن مصيبة اذًا حتي الطالب الي تم تعيينكم علشانه ما تعطونه اي اهتمام كل الجامعات اعلنت ! وانت اصل التقنية خايفين من الدراسة عن بعد مو كل يومين منزلين تغريدة انكم نجحتم في التحول الالكتروني !,,,,,,,,,0,2,0.20300293,0.35766602,0.43920898,1,Against,Favor
575,  حلم الكثيرين استاذ سعود قد يأتي تدريجيا وعسى أن لا يطول الانتظار .. فنحن الآن نحاول الخروج من عنق زجاجة أحد التحديات الكبيرة وهي تسارع حاجة التحول الإلكتروني مقابل البنية التحتية للاتصالات...,Digital Transformation,حلم الكثيرين استاذ سعود قد ياتي تدريجيا وعسي ان لا يطول الانتظار .. فنحن الان نحاول الخروج من عنق زجاجة احد التحديات الكبيرة وهي تسارع حاجة التحول الالكتروني مقابل البنية التحتية للاتصالات..,Digital Transformation,,1,Neutral,1,No,0,,,Not clear,Target: Digital Transformation Text: حلم الكثيرين استاذ سعود قد ياتي تدريجيا وعسي ان لا يطول الانتظار .. فنحن الان نحاول الخروج من عنق زجاجة احد التحديات الكبيرة وهي تسارع حاجة التحول الالكتروني مقابل البنية التحتية للاتصالات..,,,,,,,,,1,2,0.0025482178,0.0018234253,0.99560547,1,None,Favor
653, التحول الالكتروني راح يغلق كثير من الفروع في البنوك ولا غيره   مثل الجرايد والصحف سابقا,Digital Transformation,التحول الالكتروني راح يغلق كثير من الفروع في البنوك ولا غيره مثل الجرايد والصحف سابقا,Digital Transformation,Favor,2,Positive,2,No,0,F_Explicit,,,Target: Digital Transformation Text: التحول الالكتروني راح يغلق كثير من الفروع في البنوك ولا غيره مثل الجرايد والصحف سابقا,,,,,,,,,2,0,0.6464844,0.328125,0.025497437,1,Favor,Against
759,للاسف لايتعدى التحول الرقمي في مشاريعنا الجديدة شراء منتج رقمي   في حين أن التحول الرقمي يعني تحول في الاستراتيجية والعقلية والخدمات URL,Digital Transformation,للاسف لايتعدي التحول الرقمي في مشاريعنا الجديدة شراء منتج رقمي في حين ان التحول الرقمي يعني تحول في الاستراتيجية والعقلية والخدمات,Digital Transformation,,1,Neutral,1,No,0,,,Not clear,Target: Digital Transformation Text: للاسف لايتعدي التحول الرقمي في مشاريعنا الجديدة شراء منتج رقمي في حين ان التحول الرقمي يعني تحول في الاستراتيجية والعقلية والخدمات,,,,,,,,,1,2,0.048065186,0.08190918,0.8701172,1,None,Favor
776,🔻من الخاص 📩   فيه تطعيم كورونا بالاحساء ٢٤ ساعه حتى لو بفلوس جايه من الرياض ولا اعرف اذا فيه مراكز,Covid Vaccine,🔻من الخاص 📩 فيه تطعيم كورونا بالاحساء ٢٤ ساعه حتي لو بفلوس جايه من الرياض ولا اعرف اذا فيه مراكز,Covid Vaccine,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Covid Vaccine Text: 🔻من الخاص 📩 فيه تطعيم كورونا بالاحساء ٢٤ ساعه حتي لو بفلوس جايه من الرياض ولا اعرف اذا فيه مراكز,,,,,,,,,2,1,0.0546875,0.7807617,0.16442871,1,Favor,None
781,توفي ٣ مسنين ثبتت إصابتهم بكورونا  من النوع الجنوب أفريقي أو البرازيلي تم تطعيم اثنين منهم بجرعتين فايزر تقول دراسات ان اللقاح قد لايكون فعال جدا ضد المتحور الافريقي والبرازيلي 😗 المتوفين كانوا مصابين بأمراض أخرى كحال اكثر وفيات كورونا وقضت عليهم كورونا  ,Covid Vaccine,توفي ٣ مسنين ثبتت اصابتهم بكورونا من النوع الجنوب افريقي او البرازيلي تم تطعيم اثنين منهم بجرعتين فايزر تقول دراسات ان اللقاح قد لايكون فعال جدا ضد المتحور الافريقي والبرازيلي 😗 المتوفين كانوا مصابين بامراض اخري كحال اكثر وفيات كورونا وقضت عليهم كورونا,Covid Vaccine,,1,Negative,0,No,0,,,Not clear,Target: Covid Vaccine Text: توفي ٣ مسنين ثبتت اصابتهم بكورونا من النوع الجنوب افريقي او البرازيلي تم تطعيم اثنين منهم بجرعتين فايزر تقول دراسات ان اللقاح قد لايكون فعال جدا ضد المتحور الافريقي والبرازيلي 😗 المتوفين كانوا مصابين بامراض اخري كحال اكثر وفيات كورونا وقضت عليهم كورونا,,,,,,,,,1,0,0.9848633,0.013458252,0.001789093,1,None,Against
829,مع التحول الرقمي في معظم المجالات في مؤسسات الدولة و القطاع الخاص تصبح الحاجة ملحه لحماية كل هذه الأنظمة من عبث العابثين من خلال الهجمات الإلكترونية و التي تفوق أضرارها الهجوم التقليدي.    #مركز_الدفاع_الالكتروني URL,Digital Transformation,مع التحول الرقمي في معظم المجالات في مؤسسات الدولة و القطاع الخاص تصبح الحاجة ملحه لحماية كل هذه الانظمة من عبث العابثين من خلال الهجمات الالكترونية و التي تفوق اضرارها الهجوم التقليدي. #مركز الدفاع الالكتروني,Digital Transformation,,1,Positive,2,No,0,,,Not clear,Target: Digital Transformation Text: مع التحول الرقمي في معظم المجالات في مؤسسات الدولة و القطاع الخاص تصبح الحاجة ملحه لحماية كل هذه الانظمة من عبث العابثين من خلال الهجمات الالكترونية و التي تفوق اضرارها الهجوم التقليدي. #مركز الدفاع الالكتروني,,,,,,,,,1,2,0.004714966,0.015792847,0.9794922,1,None,Favor
832,من باب التحول الرقمي  ودي احول رقمي من stc ل zain,Digital Transformation,من باب التحول الرقمي ودي احول رقمي من stc ل zain,Digital Transformation,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Digital Transformation Text: من باب التحول الرقمي ودي احول رقمي من stc ل zain,,,,,,,,,2,1,0.038604736,0.57666016,0.38452148,1,Favor,None
856,التحول التقني والذكاء الاصطناعي راح يقضي على الوظائف التقليدية الي وظيفتها بس دخل بيانات واطبع. مجرد تخيلك ماذا سيحصل في ٣٠-٥٠عام القادمه راح يكون شي مرعب.  #STC_تغلق_فروعها,Digital Transformation,التحول التقني والذكاء الاصطناعي راح يقضي علي الوظائف التقليدية الي وظيفتها بس دخل بيانات واطبع. مجرد تخيلك ماذا سيحصل في ٣٠-٥٠عام القادمه راح يكون شي مرعب. #STC تغلق فروعها,Digital Transformation,Against,0,Negative,0,Yes,1,,A_Explicit,,Target: Digital Transformation Text: التحول التقني والذكاء الاصطناعي راح يقضي علي الوظائف التقليدية الي وظيفتها بس دخل بيانات واطبع. مجرد تخيلك ماذا سيحصل في ٣٠-٥٠عام القادمه راح يكون شي مرعب. #STC تغلق فروعها,,,,,,,,,0,2,0.21972656,0.045806885,0.734375,1,Against,Favor
996,والله التحول التقني في السعودية شي عجييب جدا 😀,Digital Transformation,والله التحول التقني في السعودية شي عجييب جدا 😀,Digital Transformation,,1,Neutral,1,No,0,,,Not clear,Target: Digital Transformation Text: والله التحول التقني في السعودية شي عجييب جدا 😀,,,,,,,,,1,2,0.039367676,0.01121521,0.94921875,1,None,Favor
1141, تطعيم كورونا بدون حضور تنزل لك بصحتي وتوكلنا تصفير الضريبة القيمة المضافة تصفير غرامات الضبط الميداني,Covid Vaccine,تطعيم كورونا بدون حضور تنزل لك بصحتي وتوكلنا تصفير الضريبة القيمة المضافة تصفير غرامات الضبط الميداني,Covid Vaccine,Against,0,Neutral,1,No,0,,A_Explicit,,Target: Covid Vaccine Text: تطعيم كورونا بدون حضور تنزل لك بصحتي وتوكلنا تصفير الضريبة القيمة المضافة تصفير غرامات الضبط الميداني,,,,,,,,,0,2,0.012229919,0.015563965,0.97216797,1,Against,Favor
1205,🇸🇦 مـﻧـــ الخاصــ 📩 السلام عليكم ورحمة الله وبركاته مساء الخير هل يوجد حجز تطعيم لقاح كورونا في مركز جامعة طيبة في الليل.,Covid Vaccine,🇸🇦 مﻧ الخاص 📩 السلام عليكم ورحمة الله وبركاته مساء الخير هل يوجد حجز تطعيم لقاح كورونا في مركز جامعة طيبة في الليل.,Covid Vaccine,,1,Neutral,1,No,0,,,Not clear,Target: Covid Vaccine Text: 🇸🇦 مﻧ الخاص 📩 السلام عليكم ورحمة الله وبركاته مساء الخير هل يوجد حجز تطعيم لقاح كورونا في مركز جامعة طيبة في الليل.,,,,,,,,,1,2,0.01612854,0.24304199,0.74072266,1,None,Favor
1248,"هل عملك جاهز للتحول الرقمي القادم؟   ""يُقاس النجاح في التحول الرقمي بالقيمة التي يتم إنشاؤها عندما يعمل الأشخاص باستخدام الأدوات التقنية"".  URL",Digital Transformation,"هل عملك جاهز للتحول الرقمي القادم؟ ""يُقاس النجاح في التحول الرقمي بالقيمة التي يتم انشاؤها عندما يعمل الاشخاص باستخدام الادوات التقنية"".",Digital Transformation,,1,Negative,0,No,0,,,Not clear,"Target: Digital Transformation Text: هل عملك جاهز للتحول الرقمي القادم؟ ""يُقاس النجاح في التحول الرقمي بالقيمة التي يتم انشاؤها عندما يعمل الاشخاص باستخدام الادوات التقنية"".",,,,,,,,,1,2,0.06439209,0.2253418,0.7104492,1,None,Favor
1299, وهل تمت دراسة آثار تطعيم كورونا كما تمت دراسة آثار تطعيم الحصبة!!! بل بالعكس  تطعيم الحصبة يساعد على عدم اصابتك بالمرض بمشيئة الله لكن تطعيمة الكورونا لا تمنع.   شخصيا انا محصن لكن لا انتقد من يمنع نفسه واهله من اخذها.,Covid Vaccine,وهل تمت دراسة اثار تطعيم كورونا كما تمت دراسة اثار تطعيم الحصبة!! بل بالعكس تطعيم الحصبة يساعد علي عدم اصابتك بالمرض بمشيئة الله لكن تطعيمة الكورونا لا تمنع. شخصيا انا محصن لكن لا انتقد من يمنع نفسه واهله من اخذها.,Covid Vaccine,Against,0,Negative,0,No,0,,A_Explicit,,Target: Covid Vaccine Text: وهل تمت دراسة اثار تطعيم كورونا كما تمت دراسة اثار تطعيم الحصبة!! بل بالعكس تطعيم الحصبة يساعد علي عدم اصابتك بالمرض بمشيئة الله لكن تطعيمة الكورونا لا تمنع. شخصيا انا محصن لكن لا انتقد من يمنع نفسه واهله من اخذها.,,,,,,,,,0,2,0.032073975,0.015853882,0.95214844,1,Against,Favor
