ID,text_original,target_original,text_clean,target_clean,stance,stance_id,sentiment,sentiment_id,sarcasm,sarcasm_id,favor_reason,against_reason,none_reason,model_input,target_id,text,target,stance:confidence,sarcasm:confidence,sentiment:confidence,datetime,Date,true_label,pred_label,p_against,p_none,p_favor,fold
122,  معنى كده التحول إلى التعامل الإلكتروني,Digital Transformation,معني كده التحول الي التعامل الالكتروني,Digital Transformation,None,1,Neutral,1,No,0,,,Not clear,Target: Digital Transformation Text: معني كده التحول الي التعامل الالكتروني,,,,,,,,,1,1,6.812811e-05,1.0,3.1769276e-05,5
122,  معنى كده التحول إلى التعامل الإلكتروني,Digital Transformation,معنى كده التحول إلى التعامل الإلكتروني,Digital Transformation,None,1,Neutral,1,No,0,,,Not clear,Target: Digital Transformation Text: معنى كده التحول إلى التعامل الإلكتروني,,  معنى كده التحول إلى التعامل الإلكتروني,Digital Transformation,0.7385,1.0,1.0,2020-05-19 09:24:46+00:00,19/05/2020,1,1,0.0009946823,0.9980469,0.0008635521,1
123,لا توجد اي وفيات للاطفال من كورونا  ليش يتم تطعيمهم  اذا نحن الكبار طحنا شهر تعب وحرارة وهذا من اعراض اللقاح الطبيعي فـ كيف بأجسامهم الصغيرة  اشوف انه من الاجرام تطعيم الاطفال خصوصاً ان مناعتهم قويه و كورونا صار ضعيف العالم باكمله اغلقوا سالفة كورونا واللقاحات الا نحن ليش يا ترى؟ URL,Covid Vaccine,لا توجد اي وفيات للاطفال من كورونا ليش يتم تطعيمهم اذا نحن الكبار طحنا شهر تعب وحرارة وهذا من اعراض اللقاح الطبيعي ف كيف باجسامهم الصغيرة اشوف انه من الاجرام تطعيم الاطفال خصوصاً ان مناعتهم قويه و كورونا صار ضعيف العالم باكمله اغلقوا سالفة كورونا واللقاحات الا نحن ليش يا تري؟,Covid Vaccine,Against,0,Negative,0,No,0,,A_Explicit,,Target: Covid Vaccine Text: لا توجد اي وفيات للاطفال من كورونا ليش يتم تطعيمهم اذا نحن الكبار طحنا شهر تعب وحرارة وهذا من اعراض اللقاح الطبيعي ف كيف باجسامهم الصغيرة اشوف انه من الاجرام تطعيم الاطفال خصوصاً ان مناعتهم قويه و كورونا صار ضعيف العالم باكمله اغلقوا سالفة كورونا واللقاحات الا نحن ليش يا تري؟,,,,,,,,,0,0,0.9995117,0.00025057793,0.00027537346,2
123,لا توجد اي وفيات للاطفال من كورونا  ليش يتم تطعيمهم  اذا نحن الكبار طحنا شهر تعب وحرارة وهذا من اعراض اللقاح الطبيعي فـ كيف بأجسامهم الصغيرة  اشوف انه من الاجرام تطعيم الاطفال خصوصاً ان مناعتهم قويه و كورونا صار ضعيف العالم باكمله اغلقوا سالفة كورونا واللقاحات الا نحن ليش يا ترى؟ URL,Covid Vaccine,لا توجد اي وفيات للاطفال من كورونا  ليش يتم تطعيمهم  اذا نحن الكبار طحنا شهر تعب وحرارة وهذا من اعراض اللقاح الطبيعي فـ كيف بأجسامهم الصغيرة  اشوف انه من الاجرام تطعيم الاطفال خصوصاً ان مناعتهم قويه و كورونا صار ضعيف العالم باكمله اغلقوا سالفة كورونا واللقاحات الا نحن ليش يا ترى؟ URL,Covid Vaccine,Against,0,Negative,0,No,0,,A_Explicit,,Target: Covid Vaccine Text: لا توجد اي وفيات للاطفال من كورونا  ليش يتم تطعيمهم  اذا نحن الكبار طحنا شهر تعب وحرارة وهذا من اعراض اللقاح الطبيعي فـ كيف بأجسامهم الصغيرة  اشوف انه من الاجرام تطعيم الاطفال خصوصاً ان مناعتهم قويه و كورونا صار ضعيف العالم باكمله اغلقوا سالفة كورونا واللقاحات الا نحن ليش يا ترى؟ URL,,لا توجد اي وفيات للاطفال من كورونا  ليش يتم تطعيمهم  اذا نحن الكبار طحنا شهر تعب وحرارة وهذا من اعراض اللقاح الطبيعي فـ كيف بأجسامهم الصغيرة  اشوف انه من الاجرام تطعيم الاطفال خصوصاً ان مناعتهم قويه و كورونا صار ضعيف العالم باكمله اغلقوا سالفة كورونا واللقاحات الا نحن ليش يا ترى؟ URL,Covid Vaccine,1.0,1.0,0.8408,2022-03-30 09:11:16+00:00,30/03/2022,0,0,0.99560547,0.0032749176,0.0012187958,3
127,  واضح للأسف الجهل في حسابك وتغريداتك   الله يكون بعونك بس . وبلادنا اللي تدعي لها بالبايو هي اللي قررت تطعيم الشعب بلقاح كورونا ولقاح عنق الرحم .,Covid Vaccine,واضح للاسف الجهل في حسابك وتغريداتك الله يكون بعونك بس . وبلادنا اللي تدعي لها بالبايو هي اللي قررت تطعيم الشعب بلقاح كورونا ولقاح عنق الرحم .,Covid Vaccine,None,1,Negative,0,No,0,,,Not clear,Target: Covid Vaccine Text: واضح للاسف الجهل في حسابك وتغريداتك الله يكون بعونك بس . وبلادنا اللي تدعي لها بالبايو هي اللي قررت تطعيم الشعب بلقاح كورونا ولقاح عنق الرحم .,,,,,,,,,1,1,0.0068206787,0.9926758,0.0006980896,4
127,  واضح للأسف الجهل في حسابك وتغريداتك   الله يكون بعونك بس . وبلادنا اللي تدعي لها بالبايو هي اللي قررت تطعيم الشعب بلقاح كورونا ولقاح عنق الرحم .,Covid Vaccine,واضح للأسف الجهل في حسابك وتغريداتك   الله يكون بعونك بس . وبلادنا اللي تدعي لها بالبايو هي اللي قررت تطعيم الشعب بلقاح كورونا ولقاح عنق الرحم .,Covid Vaccine,None,1,Negative,0,No,0,,,Not clear,Target: Covid Vaccine Text: واضح للأسف الجهل في حسابك وتغريداتك   الله يكون بعونك بس . وبلادنا اللي تدعي لها بالبايو هي اللي قررت تطعيم الشعب بلقاح كورونا ولقاح عنق الرحم .,,  واضح للأسف الجهل في حسابك وتغريداتك   الله يكون بعونك بس . وبلادنا اللي تدعي لها بالبايو هي اللي قررت تطعيم الشعب بلقاح كورونا ولقاح عنق الرحم .,Covid Vaccine,0.5704,1.0,0.8281,2022-03-28 20:59:41+00:00,28/03/2022,1,1,0.09259033,0.85791016,0.049682617,3
136, تمكين المرأة في الحياة العامة وخروجها من منزلها فهذا يعني انتكاسة للمجتمع .. تمكين المرأة لتصبح قائدة ويتحول الرجل المسئول عن القوامة وقيادة المجتمع الى حبيس المنزل، من سيربي اجيال المستقبل وكيف تستقيم الحياة اذا كانت المرأة تعمل والرجل عاطل..ا,Women empowerment,تمكين المرأة في الحياة العامة وخروجها من منزلها فهذا يعني انتكاسة للمجتمع .. تمكين المرأة لتصبح قائدة ويتحول الرجل المسئول عن القوامة وقيادة المجتمع الى حبيس المنزل، من سيربي اجيال المستقبل وكيف تستقيم الحياة اذا كانت المرأة تعمل والرجل عاطل..ا,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: تمكين المرأة في الحياة العامة وخروجها من منزلها فهذا يعني انتكاسة للمجتمع .. تمكين المرأة لتصبح قائدة ويتحول الرجل المسئول عن القوامة وقيادة المجتمع الى حبيس المنزل، من سيربي اجيال المستقبل وكيف تستقيم الحياة اذا كانت المرأة تعمل والرجل عاطل..ا,, تمكين المرأة في الحياة العامة وخروجها من منزلها فهذا يعني انتكاسة للمجتمع .. تمكين المرأة لتصبح قائدة ويتحول الرجل المسئول عن القوامة وقيادة المجتمع الى حبيس المنزل، من سيربي اجيال المستقبل وكيف تستقيم الحياة اذا كانت المرأة تعمل والرجل عاطل..ا,Women empowerment,0.8543,1.0,1.0,2021-03-04 20:08:54+00:00,04/03/2021,0,0,1.0,5.6803226e-05,5.8293343e-05,5
136, تمكين المرأة في الحياة العامة وخروجها من منزلها فهذا يعني انتكاسة للمجتمع .. تمكين المرأة لتصبح قائدة ويتحول الرجل المسئول عن القوامة وقيادة المجتمع الى حبيس المنزل، من سيربي اجيال المستقبل وكيف تستقيم الحياة اذا كانت المرأة تعمل والرجل عاطل..ا,Women empowerment,تمكين المراة في الحياة العامة وخروجها من منزلها فهذا يعني انتكاسة للمجتمع .. تمكين المراة لتصبح قائدة ويتحول الرجل المسئول عن القوامة وقيادة المجتمع الي حبيس المنزل، من سيربي اجيال المستقبل وكيف تستقيم الحياة اذا كانت المراة تعمل والرجل عاطل..ا,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: تمكين المراة في الحياة العامة وخروجها من منزلها فهذا يعني انتكاسة للمجتمع .. تمكين المراة لتصبح قائدة ويتحول الرجل المسئول عن القوامة وقيادة المجتمع الي حبيس المنزل، من سيربي اجيال المستقبل وكيف تستقيم الحياة اذا كانت المراة تعمل والرجل عاطل..ا,,,,,,,,,0,0,0.9970703,0.00018906593,0.0028038025,2
151,#تمكين المرأة هو ناتج عن #الجهل  والاستغلال والمتاجرة بالمرأة  وهن يصدقوا العوبيطيات,Women empowerment,#تمكين المرأة هو ناتج عن #الجهل  والاستغلال والمتاجرة بالمرأة  وهن يصدقوا العوبيطيات,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: #تمكين المرأة هو ناتج عن #الجهل  والاستغلال والمتاجرة بالمرأة  وهن يصدقوا العوبيطيات,,#تمكين المرأة هو ناتج عن #الجهل  والاستغلال والمتاجرة بالمرأة  وهن يصدقوا العوبيطيات,Women empowerment,1.0,1.0,1.0,2022-04-22 03:42:22+00:00,22/04/2022,0,0,0.99658203,0.00016617775,0.0033798218,1
151,#تمكين المرأة هو ناتج عن #الجهل  والاستغلال والمتاجرة بالمرأة  وهن يصدقوا العوبيطيات,Women empowerment,#تمكين المراة هو ناتج عن #الجهل والاستغلال والمتاجرة بالمراة وهن يصدقوا العوبيطيات,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: #تمكين المراة هو ناتج عن #الجهل والاستغلال والمتاجرة بالمراة وهن يصدقوا العوبيطيات,,,,,,,,,0,0,0.99560547,0.00015413761,0.00434494,1
152,#تمكين_المرأة   يَٰٓأَيُّهَا ٱلنَّبِىُّ قُل لِّأَزْوَٰجِكَ إِن كُنتُنَّ تُرِدْنَ ٱلْحَيَوٰةَ ٱلدُّنْيَا وَزِينَتَهَا فَتَعَالَيْنَ أُمَتِّعْكُنَّ وَأُسَرِّحْكُنَّ سَرَاحًا جَمِيلًا,Women empowerment,#تمكين المراة يَٰٓاَيُّهَا ٱلنَّبِيُّ قُل لِّاَزْوَٰجِكَ اِن كُنتُنَّ تُرِدْنَ ٱلْحَيَوٰةَ ٱلدُّنْيَا وَزِينَتَهَا فَتَعَالَيْنَ اُمَتِّعْكُنَّ وَاُسَرِّحْكُنَّ سَرَاحًا جَمِيلًا,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: #تمكين المراة يَٰٓاَيُّهَا ٱلنَّبِيُّ قُل لِّاَزْوَٰجِكَ اِن كُنتُنَّ تُرِدْنَ ٱلْحَيَوٰةَ ٱلدُّنْيَا وَزِينَتَهَا فَتَعَالَيْنَ اُمَتِّعْكُنَّ وَاُسَرِّحْكُنَّ سَرَاحًا جَمِيلًا,,,,,,,,,0,0,0.92285156,0.05316162,0.023834229,3
152,#تمكين_المرأة   يَٰٓأَيُّهَا ٱلنَّبِىُّ قُل لِّأَزْوَٰجِكَ إِن كُنتُنَّ تُرِدْنَ ٱلْحَيَوٰةَ ٱلدُّنْيَا وَزِينَتَهَا فَتَعَالَيْنَ أُمَتِّعْكُنَّ وَأُسَرِّحْكُنَّ سَرَاحًا جَمِيلًا,Women empowerment,#تمكين_المرأة   يَٰٓأَيُّهَا ٱلنَّبِىُّ قُل لِّأَزْوَٰجِكَ إِن كُنتُنَّ تُرِدْنَ ٱلْحَيَوٰةَ ٱلدُّنْيَا وَزِينَتَهَا فَتَعَالَيْنَ أُمَتِّعْكُنَّ وَأُسَرِّحْكُنَّ سَرَاحًا جَمِيلًا,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: #تمكين_المرأة   يَٰٓأَيُّهَا ٱلنَّبِىُّ قُل لِّأَزْوَٰجِكَ إِن كُنتُنَّ تُرِدْنَ ٱلْحَيَوٰةَ ٱلدُّنْيَا وَزِينَتَهَا فَتَعَالَيْنَ أُمَتِّعْكُنَّ وَأُسَرِّحْكُنَّ سَرَاحًا جَمِيلًا,,#تمكين_المرأة   يَٰٓأَيُّهَا ٱلنَّبِىُّ قُل لِّأَزْوَٰجِكَ إِن كُنتُنَّ تُرِدْنَ ٱلْحَيَوٰةَ ٱلدُّنْيَا وَزِينَتَهَا فَتَعَالَيْنَ أُمَتِّعْكُنَّ وَأُسَرِّحْكُنَّ سَرَاحًا جَمِيلًا,Women empowerment,0.4126,1.0,0.4076,2022-05-04 17:48:36+00:00,04/05/2022,0,0,0.9980469,0.0006766319,0.0011396408,4
158, #تمكين_المرأة يوحي بأن الرجل كان مغتصب حقوقها ..!! 🙄  جعلتوا التفرقة العنصرية تصل إلى داخل بيوتنا بين الرجل والمرأة ..!!  🙄,Women empowerment,#تمكين_المرأة يوحي بأن الرجل كان مغتصب حقوقها ..!! 🙄  جعلتوا التفرقة العنصرية تصل إلى داخل بيوتنا بين الرجل والمرأة ..!!  🙄,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: #تمكين_المرأة يوحي بأن الرجل كان مغتصب حقوقها ..!! 🙄  جعلتوا التفرقة العنصرية تصل إلى داخل بيوتنا بين الرجل والمرأة ..!!  🙄,, #تمكين_المرأة يوحي بأن الرجل كان مغتصب حقوقها ..!! 🙄  جعلتوا التفرقة العنصرية تصل إلى داخل بيوتنا بين الرجل والمرأة ..!!  🙄,Women empowerment,0.9168,0.9029,0.8155,2020-12-14 17:07:09+00:00,14/12/2020,0,0,0.99902344,0.0001951456,0.0006890297,2
158, #تمكين_المرأة يوحي بأن الرجل كان مغتصب حقوقها ..!! 🙄  جعلتوا التفرقة العنصرية تصل إلى داخل بيوتنا بين الرجل والمرأة ..!!  🙄,Women empowerment,#تمكين المراة يوحي بان الرجل كان مغتصب حقوقها ..!! 🙄 جعلتوا التفرقة العنصرية تصل الي داخل بيوتنا بين الرجل والمراة ..!! 🙄,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: #تمكين المراة يوحي بان الرجل كان مغتصب حقوقها ..!! 🙄 جعلتوا التفرقة العنصرية تصل الي داخل بيوتنا بين الرجل والمراة ..!! 🙄,,,,,,,,,0,0,0.9980469,0.00022876263,0.0015716553,2
190,كيف تقر أعينكم في النوم والعباد من حولكم يدعون عليكم؟ ضيقتم علينا بغير حق  كورونا عبارة عن انفلونزا فلماذا الإجبار على التطعيم؟ لماذا تطعيم أولادنا بدون موافقتنا؟ لماذا حرماننا من وظائفنا؟؟ والله لن يترككم الله. #الغاء_القيود_مطلب_سعودي,Covid Vaccine,كيف تقر أعينكم في النوم والعباد من حولكم يدعون عليكم؟ ضيقتم علينا بغير حق  كورونا عبارة عن انفلونزا فلماذا الإجبار على التطعيم؟ لماذا تطعيم أولادنا بدون موافقتنا؟ لماذا حرماننا من وظائفنا؟؟ والله لن يترككم الله. #الغاء_القيود_مطلب_سعودي,Covid Vaccine,Against,0,Negative,0,No,0,,A_Explicit,,Target: Covid Vaccine Text: كيف تقر أعينكم في النوم والعباد من حولكم يدعون عليكم؟ ضيقتم علينا بغير حق  كورونا عبارة عن انفلونزا فلماذا الإجبار على التطعيم؟ لماذا تطعيم أولادنا بدون موافقتنا؟ لماذا حرماننا من وظائفنا؟؟ والله لن يترككم الله. #الغاء_القيود_مطلب_سعودي,,كيف تقر أعينكم في النوم والعباد من حولكم يدعون عليكم؟ ضيقتم علينا بغير حق  كورونا عبارة عن انفلونزا فلماذا الإجبار على التطعيم؟ لماذا تطعيم أولادنا بدون موافقتنا؟ لماذا حرماننا من وظائفنا؟؟ والله لن يترككم الله. #الغاء_القيود_مطلب_سعودي,Covid Vaccine,1.0,1.0,1.0,2022-04-06 21:18:02+00:00,06/04/2022,0,0,1.0,0.00020182133,3.093481e-05,5
